file_pair,score,score_clipped
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt')",1.6188774108886719,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instruchiuy45iuh5y iuh54tions.txt')",1.4814717769622803,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instructions (1).txt')",1.3143398761749268,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instructions.txt')",0.9903294444084167,0.9903294444084167
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\giuhrweiuhtweiuh.txt')",0.9668388962745667,0.9668388962745667
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\guiweriuteui.txt')",0.9078792929649353,0.9078792929649353
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\ihu e3iuhgr ihu.txt')",1.0217657089233398,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\iughteiuht43iuh.txt')",1.5325146913528442,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\iuhreihre iho.txt')",1.3686343431472778,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\iuht34 uiht43ihu.txt')",1.6188774108886719,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\jikbwe iujbgwr.txt')",0.8433025479316711,0.8433025479316711
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\kjhewjkhwrth t.txt')",1.3236896991729736,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\nkjtwqr inhogerkn .txt')",1.4150209426879883,1.0
"('Prompt-generated-text\\Generator_Dispatchu 5i o_Instructions.txt', 'Prompt-generated-text\\uy3 i3 2i.txt')",1.5827696323394775,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instruchiuy45iuh5y iuh54tions.txt')",1.4450154304504395,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instructions (1).txt')",1.352816104888916,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instructions.txt')",1.0564041137695312,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\giuhrweiuhtweiuh.txt')",1.0653350353240967,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\guiweriuteui.txt')",0.9654378890991211,0.9654378890991211
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\ihu e3iuhgr ihu.txt')",1.0266449451446533,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\iughteiuht43iuh.txt')",1.5133719444274902,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\iuhreihre iho.txt')",1.4475635290145874,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\iuht34 uiht43ihu.txt')",1.5389206409454346,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\jikbwe iujbgwr.txt')",0.9189537763595581,0.9189537763595581
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\kjhewjkhwrth t.txt')",1.4037446975708008,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\nkjtwqr inhogerkn .txt')",1.5054917335510254,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instiu g4t 43ructions.txt', 'Prompt-generated-text\\uy3 i3 2i.txt')",1.5467277765274048,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instruchiuy45iuh5y iuh54tions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instructions (1).txt')",1.3857371807098389,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instruchiuy45iuh5y iuh54tions.txt', 'Prompt-generated-text\\Generator_Dispatch_Instructions.txt')",1.051766276359558,1.0
"('Prompt-generated-text\\Generator_Dispatch_Instruchiuy45iuh5y iuh54tions.txt', 'Prompt-generated-text\\giuhrweiuhtweiuh.txt')",1.0599634647369385,1.0
